date,total_value
2024-01-01,80.79460471567185
2024-01-02,79.3990348440156
2024-01-03,79.07499310826755
2024-01-04,78.4957043690204
2024-01-05,78.57657800647775
2024-01-06,78.57657800647775
2024-01-07,78.57657800647775
2024-01-08,80.2453930610502
2024-01-09,80.67831822783103
2024-01-10,81.62070416228883
2024-01-11,81.86584036924782
2024-01-12,82.1488521521571
2024-01-13,82.1488521521571
2024-01-14,82.1488521521571
2024-01-15,82.1488521521571
2024-01-16,81.98198539449744
2024-01-17,81.62753450731033
2024-01-18,82.80441002197989
2024-01-19,84.22199178368926
2024-01-20,84.22199178368926
2024-01-21,84.22199178368926
2024-01-22,84.31127519153137
2024-01-23,84.52422306355697
2024-01-24,84.97615606116658
2024-01-25,85.6751030193296
2024-01-26,85.48293634982633
2024-01-27,85.48293634982633
2024-01-28,85.48293634982633
2024-01-29,86.31566181066361
2024-01-30,85.82184112593448
2024-01-31,83.42005330116395
2024-02-01,84.69485659088272
2024-02-02,86.80275394621435
2024-02-03,86.80275394621435
2024-02-04,86.80275394621435
2024-02-05,86.89072988632041
2024-02-06,86.87183912496307
2024-02-07,88.01172968926336
2024-02-08,88.17857343743482
2024-02-09,89.16093499314633
2024-02-10,89.16093499314633
2024-02-11,89.16093499314633
2024-02-12,88.49257536207918
2024-02-13,87.34419763736652
2024-02-14,88.4948820954715
2024-02-15,88.33712306918872
2024-02-16,87.65459913514565
2024-02-17,87.65459913514565
2024-02-18,87.65459913514565
2024-02-19,87.65459913514565
2024-02-20,86.97430700187539
2024-02-21,86.87503592851849
2024-02-22,89.12773352523413
2024-02-23,89.02334596215675
2024-02-24,89.02334596215675
2024-02-25,89.02334596215675
2024-02-26,88.39451865237424
2024-02-27,88.58698833842166
2024-02-28,88.17754864404397
2024-02-29,89.0976328240881
2024-03-01,89.96419774226801
2024-03-02,89.96419774226801
2024-03-03,89.96419774226801
2024-03-04,89.4297669227472
2024-03-05,87.90734331416675
2024-03-06,88.21676251482224
2024-03-07,89.38546313255706
2024-03-08,88.73302927168807
2024-03-09,88.73302927168807
2024-03-10,88.73302927168807
2024-03-11,88.14264311246215
2024-03-12,89.58962190831735
2024-03-13,89.39959749223888
2024-03-14,89.85480928595032
2024-03-15,88.68076161606108
2024-03-16,88.68076161606108
2024-03-17,88.68076161606108
2024-03-18,89.89717194906964
2024-03-19,90.37230411456127
2024-03-20,91.37960303138388
2024-03-21,91.22682013262165
2024-03-22,91.43693980154616
2024-03-23,91.43693980154616
2024-03-24,91.43693980154616
2024-03-25,90.96509920223768
2024-03-26,90.7778419314116
2024-03-27,91.16966494400704
2024-03-28,90.9776163591748
2024-03-29,90.9776163591748
2024-03-30,90.9776163591748
2024-03-31,90.9776163591748
2024-04-01,91.31784266113787
2024-04-02,90.82596155106896
2024-04-03,91.31438440017352
2024-04-04,89.99147300126145
2024-04-05,91.59480179888192
2024-04-06,91.59480179888192
2024-04-07,91.59480179888192
2024-04-08,91.54150566942519
2024-04-09,91.57227550732836
2024-04-10,91.10937874247767
2024-04-11,92.41972874680458
2024-04-12,91.19387012006074
2024-04-13,91.19387012006074
2024-04-14,91.19387012006074
2024-04-15,89.63993681372212
2024-04-16,89.5320063628464
2024-04-17,88.96790972303994
2024-04-18,88.5534651508973
2024-04-19,87.04337894646447
2024-04-20,87.04337894646447
2024-04-21,87.04337894646447
2024-04-22,87.89862015589694
2024-04-23,89.35259713279369
2024-04-24,89.36249940830093
2024-04-25,88.09077345150935
2024-04-26,90.44546690998231
2024-04-27,90.44546690998231
2024-04-28,90.44546690998231
2024-04-29,89.98085525982165
2024-04-30,88.5512915881997
2024-05-01,88.66413821765144
2024-05-02,89.73033496987121
2024-05-03,91.09384816850704
2024-05-04,91.09384816850704
2024-05-05,91.09384816850704
2024-05-06,92.31088534809882
2024-05-07,92.66738719246973
2024-05-08,92.52068352396613
2024-05-09,92.9785860746124
2024-05-10,92.78473154765403
2024-05-11,92.78473154765403
2024-05-12,92.78473154765403
2024-05-13,92.62448249746843
2024-05-14,93.1474257945736
2024-05-15,94.68043428438685
2024-05-16,94.32222895311192
2024-05-17,94.57855183641303
2024-05-18,94.57855183641303
2024-05-19,94.57855183641303
2024-05-20,94.92286398863529
2024-05-21,95.28447733267052
2024-05-22,95.03126727697635
2024-05-23,94.24634873037017
2024-05-24,95.05145018084158
2024-05-25,95.05145018084158
2024-05-26,95.05145018084158
2024-05-27,95.05145018084158
2024-05-28,95.26621573721015
2024-05-29,94.86917194732223
2024-05-30,93.41203975068903
2024-05-31,93.51715907292656
2024-06-01,93.51715907292656
2024-06-02,93.51715907292656
2024-06-03,93.75296504071626
2024-06-04,93.9856119992782
2024-06-05,95.41761558202678
2024-06-06,95.6052926940533
2024-06-07,95.57862600317966
2024-06-08,95.57862600317966
2024-06-09,95.57862600317966
2024-06-10,96.04114257683428
2024-06-11,97.12387041280232
2024-06-12,98.08059685831775
2024-06-13,97.76945009855557
2024-06-14,98.01334778631268
2024-06-15,98.01334778631268
2024-06-16,98.01334778631268
2024-06-17,98.88465017319598
2024-06-18,98.63576423588819
2024-06-19,98.63576423588819
2024-06-20,98.62527723202808
2024-06-21,98.78724821906668
2024-06-22,98.78724821906668
2024-06-23,98.78724821906668
2024-06-24,98.41515777627842
2024-06-25,99.52702182237354
2024-06-26,99.95326753822685
2024-06-27,100.60463081188318
2024-06-28,99.57180550508953
2024-06-29,99.57180550508953
2024-06-30,99.57180550508953
2024-07-01,100.42189554422566
2024-07-02,101.35678601763126
2024-07-03,101.61016816618483
2024-07-04,101.61016816618483
